,a_USBLlong_t,usbllong_D,usbllong_E,usbllong_N,usbllong_X,usbllong_Y,usbllong_Z,usbllong_pitch,usbllong_roll,usbllong_yaw
0,2021-11-30 12:26:13.499502,1.9038000106811523,22.152099609375,9.470000267028809,9.470000267028809,22.152099609375,1.9038000106811523,0.0,0.0,-0.0
1,2021-11-30 12:26:14.921213,0.07840000092983246,21.999099731445312,10.009900093078613,10.009900093078613,21.999099731445312,0.07840000092983246,0.0,0.0,-0.0
2,2021-11-30 12:26:19.339617,1.8428000211715698,21.321800231933594,10.715499877929688,10.715499877929688,21.321800231933594,1.8428000211715698,0.0,0.0,-0.0
3,2021-11-30 12:26:20.759662,2.9802000522613525,21.25909996032715,10.573100090026855,10.573100090026855,21.25909996032715,2.9802000522613525,0.0,0.0,-0.0
4,2021-11-30 12:26:21.795867,1.0855000019073486,20.688899993896484,12.044300079345703,12.044300079345703,20.688899993896484,1.0855000019073486,0.0,0.0,-0.0
5,2021-11-30 12:26:26.257646,2.5039000511169434,19.7278995513916,13.057700157165527,13.057700157165527,19.7278995513916,2.5039000511169434,0.0,0.0,-0.0
6,2021-11-30 12:26:27.687259,0.4749000072479248,19.328800201416016,13.589300155639648,13.589300155639648,19.328800201416016,0.4749000072479248,0.0,0.0,-0.0
7,2021-11-30 12:26:32.100594,1.250100016593933,16.50790023803711,15.567700386047363,15.567700386047363,16.50790023803711,1.250100016593933,0.0,0.0,-0.0
8,2021-11-30 12:26:33.522276,0.20090000331401825,15.679499626159668,16.012100219726562,16.012100219726562,15.679499626159668,0.20090000331401825,0.0,0.0,-0.0
9,2021-11-30 12:26:34.947109,1.2422000169754028,15.211700439453125,15.98900032043457,15.98900032043457,15.211700439453125,1.2422000169754028,0.0,0.0,-0.0
10,2021-11-30 12:26:35.979628,0.4684000015258789,13.835100173950195,17.02989959716797,17.02989959716797,13.835100173950195,0.4684000015258789,0.0,0.0,-0.0
11,2021-11-30 12:26:40.429666,0.9060999751091003,11.699600219726562,18.005699157714844,18.005699157714844,11.699600219726562,0.9060999751091003,0.0,0.0,-0.0
12,2021-11-30 12:26:41.843920,0.796500027179718,10.923299789428711,18.40999984741211,18.40999984741211,10.923299789428711,0.796500027179718,0.0,0.0,-0.0
13,2021-11-30 12:26:43.259161,0.9990000128746033,9.934499740600586,18.083099365234375,18.083099365234375,9.934499740600586,0.9990000128746033,0.0,0.0,-0.0
14,2021-11-30 12:26:44.677516,1.8329999446868896,9.234100341796875,17.556699752807617,17.556699752807617,9.234100341796875,1.8329999446868896,0.0,0.0,-0.0
15,2021-11-30 12:26:45.715285,-0.12139999866485596,14.284700393676758,13.48840045928955,13.48840045928955,14.284700393676758,-0.12139999866485596,0.0,0.0,-0.0
16,2021-11-30 12:26:47.144088,2.3664000034332275,18.817399978637695,5.158100128173828,5.158100128173828,18.817399978637695,2.3664000034332275,0.0,0.0,-0.0
17,2021-11-30 12:26:48.178044,3.1184000968933105,19.05030059814453,-3.720099925994873,-3.720099925994873,19.05030059814453,3.1184000968933105,0.0,0.0,-0.0
18,2021-11-30 12:26:52.560207,2.6672000885009766,15.185600280761719,-12.487099647521973,-12.487099647521973,15.185600280761719,2.6672000885009766,0.0,0.0,-0.0
19,2021-11-30 12:26:53.591198,1.7718000411987305,15.244000434875488,-12.75160026550293,-12.75160026550293,15.244000434875488,1.7718000411987305,0.0,0.0,-0.0
20,2021-11-30 12:26:57.994624,0.8287000060081482,16.699100494384766,-11.32040023803711,-11.32040023803711,16.699100494384766,0.8287000060081482,0.0,0.0,-0.0
21,2021-11-30 12:26:59.412198,1.4404000043869019,16.979900360107422,-11.07759952545166,-11.07759952545166,16.979900360107422,1.4404000043869019,0.0,0.0,-0.0
22,2021-11-30 12:27:00.446486,1.6845999956130981,17.53030014038086,-10.423399925231934,-10.423399925231934,17.53030014038086,1.6845999956130981,0.0,0.0,-0.0
23,2021-11-30 12:27:01.861669,1.9351999759674072,18.09119987487793,-9.588700294494629,-9.588700294494629,18.09119987487793,1.9351999759674072,0.0,0.0,-0.0
24,2021-11-30 12:27:06.268153,1.5621999502182007,19.65250015258789,-7.389800071716309,-7.389800071716309,19.65250015258789,1.5621999502182007,0.0,0.0,-0.0
25,2021-11-30 12:27:07.684435,1.1083999872207642,19.843599319458008,-7.246699810028076,-7.246699810028076,19.843599319458008,1.1083999872207642,0.0,0.0,-0.0
26,2021-11-30 12:27:09.103709,2.7827999591827393,20.04290008544922,-6.450699806213379,-6.450699806213379,20.04290008544922,2.7827999591827393,0.0,0.0,-0.0
27,2021-11-30 12:27:10.520827,1.8904000520706177,20.52239990234375,-5.584499835968018,-5.584499835968018,20.52239990234375,1.8904000520706177,0.0,0.0,-0.0
28,2021-11-30 12:27:11.556567,2.779099941253662,20.7012996673584,-4.104499816894531,-4.104499816894531,20.7012996673584,2.779099941253662,0.0,0.0,-0.0
29,2021-11-30 12:27:12.990199,2.736599922180176,20.93600082397461,-2.7392001152038574,-2.7392001152038574,20.93600082397461,2.736599922180176,0.0,0.0,-0.0
30,2021-11-30 12:27:14.408675,1.8842999935150146,21.24799919128418,-0.5695000290870667,-0.5695000290870667,21.24799919128418,1.8842999935150146,0.0,0.0,-0.0
31,2021-11-30 12:27:15.444231,2.305999994277954,21.16360092163086,0.9934999942779541,0.9934999942779541,21.16360092163086,2.305999994277954,0.0,0.0,-0.0
32,2021-11-30 12:27:16.878176,1.7549999952316284,21.126699447631836,1.7309999465942383,1.7309999465942383,21.126699447631836,1.7549999952316284,0.0,0.0,-0.0
