,a_nav_status_xi,nav_status_D,nav_status_E,nav_status_N,nav_status_alt,nav_status_origin_lat,nav_status_origin_lon,nav_status_pitch,nav_status_roll,nav_status_yaw
68,2021-09-20 09:26:44.005182,0.0,-167.45164923262175,-96.21925967820275,0.0,39.154599999999995,2.9449,-0.0,0.0,1.568545937538147
69,2021-09-20 09:26:44.036189,0.0,-167.4405292963591,-96.22443311022363,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5883902311325073
70,2021-09-20 09:26:44.068276,0.0,-167.43394102727999,-96.22816631681677,0.0,39.154599999999995,2.9449,-0.0,0.0,1.604913353919983
71,2021-09-20 09:26:44.104498,0.0,-167.4248665391104,-96.23261869628739,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6081281900405884
72,2021-09-20 09:26:44.180819,0.0,-167.40339726628244,-96.24318840789716,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6187865734100342
73,2021-09-20 09:26:44.204545,0.0,-167.39294171049025,-96.2488357630452,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6268585920333862
74,2021-09-20 09:26:44.237862,0.0,-167.38229609072832,-96.25454323973364,0.0,39.154599999999995,2.9449,-0.0,0.0,1.603510856628418
75,2021-09-20 09:26:44.284718,0.0,-167.37183835280538,-96.2600441840998,0.0,39.154599999999995,2.9449,-0.0,0.0,1.639682412147522
76,2021-09-20 09:26:44.317347,0.0,-167.36371231107475,-96.2655956154792,0.0,39.154599999999995,2.9449,-0.0,0.0,1.648505449295044
77,2021-09-20 09:26:44.338133,0.0,-167.35337326705528,-96.2714052684204,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6606967449188232
78,2021-09-20 09:26:44.408710,0.0,-167.3327389164735,-96.28357301876319,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6629472970962524
79,2021-09-20 09:26:44.445592,0.0,-167.32272656468584,-96.28965760435302,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6802748441696167
80,2021-09-20 09:26:44.478867,0.0,-167.3126555989317,-96.29577967223604,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6497528553009033
81,2021-09-20 09:26:44.513489,0.0,-167.30218413341652,-96.30062228909179,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6937177181243896
82,2021-09-20 09:26:44.541121,0.0,-167.29219850528114,-96.30675029631823,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6731373071670532
83,2021-09-20 09:26:44.584965,0.0,-167.2819136520762,-96.31302481529607,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6728272438049316
84,2021-09-20 09:26:44.649803,0.0,-167.2618019139941,-96.32525666872463,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6226003170013428
85,2021-09-20 09:26:44.675112,0.0,-167.24636818218636,-96.32819162032642,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6392446756362915
86,2021-09-20 09:26:44.704946,0.0,-167.2375427487939,-96.33336155298194,0.0,39.154599999999995,2.9449,-0.0,0.0,1.614079236984253
