,a_modem_delayed_t,modem_delayed_X,modem_delayed_Y,modem_delayed_Z,modem_delayed_ori_W,modem_delayed_ori_X,modem_delayed_ori_Y,modem_delayed_ori_Z
0,2021-06-09 12:35:42.934003,38.700803777343936,-13.783636056744257,-12.872100067138671,1.0,0.0,0.0,0.0
1,2021-06-09 12:36:29.974679,30.31610539315143,-19.924924530182096,-5.083200168609619,1.0,0.0,0.0,0.0
2,2021-06-09 12:36:32.923226,29.473053414171325,-20.773392611811857,-4.552799892425537,1.0,0.0,0.0,0.0
3,2021-06-09 12:36:34.422135,29.33055630610047,-21.73472160371236,-6.543599796295166,1.0,0.0,0.0,0.0
4,2021-06-09 12:36:37.327424,27.22998633050817,-20.64023062963824,-4.823400211334229,1.0,0.0,0.0,0.0
5,2021-06-09 12:36:38.822600,28.095423041513712,-21.94450945564199,-2.763999891281128,1.0,0.0,0.0,0.0
6,2021-06-09 12:36:45.353389,24.993016916501894,-21.6641642926307,-8.327300262451171,1.0,0.0,0.0,0.0
7,2021-06-09 12:36:46.852737,24.619670539479237,-20.9109414073409,-4.4849998474121096,1.0,0.0,0.0,0.0
8,2021-06-09 12:36:58.631284,18.17577632164388,-18.63063734021638,-5.666100215911865,1.0,0.0,0.0,0.0
9,2021-06-09 12:37:00.121936,18.100182939362163,-19.33597427996105,-9.506400299072265,1.0,0.0,0.0,0.0
10,2021-06-09 12:37:01.611556,18.275146324348228,-19.550377195735024,-6.60910005569458,1.0,0.0,0.0,0.0
11,2021-06-09 12:37:08.153437,15.162908670435854,-20.843405820857853,-16.191199493408202,1.0,0.0,0.0,0.0
12,2021-06-09 12:37:20.914386,11.298199630071252,-21.83337749478244,-13.8899995803833,1.0,0.0,0.0,0.0
13,2021-06-09 12:37:22.400171,12.30720476457789,-21.811089394423448,-5.621299934387207,1.0,0.0,0.0,0.0
14,2021-06-09 12:37:35.128017,5.215331257205506,-24.18847923906793,-12.281800460815429,1.0,0.0,0.0,0.0
15,2021-06-09 12:37:41.639466,6.88933991667016,-26.59834193609302,-5.7851001739501955,1.0,0.0,0.0,0.0
16,2021-06-09 12:37:48.154657,7.299416856101139,-27.207421968819048,-0.5791999816894531,1.0,0.0,0.0,0.0
17,2021-06-09 12:37:54.569476,7.274742231803387,-29.564510586198423,-0.7917999744415283,1.0,0.0,0.0,0.0
18,2021-06-09 12:37:56.052011,6.911084009660044,-30.09646917772774,-0.23649997711181636,1.0,0.0,0.0,0.0
19,2021-06-09 12:37:57.518455,6.993585322139204,-30.85527049804972,-0.8615999937057495,1.0,0.0,0.0,0.0
20,2021-06-09 12:37:58.985165,6.594286940025711,-31.521606108971454,0.47960000038146977,1.0,0.0,0.0,0.0
