,a_setpoints_t,setpoint_0,setpoint_1
0,2021-07-21 13:09:51.063591,-0.9997919904314472,-0.997332697345719
1,2021-07-21 13:09:51.163045,-0.9589886004095263,-0.9997919904314472
2,2021-07-21 13:09:51.263803,-0.9997919904314472,-0.8687938002042443
3,2021-07-21 13:09:51.363220,-0.9997919904314472,-0.7393882684668034
4,2021-07-21 13:09:51.463134,-0.9997919904314472,-0.9070457739957547
5,2021-07-21 13:09:51.563776,-0.9997919904314472,-0.7837377721460115
6,2021-07-21 13:09:51.663337,-0.9997919904314472,-0.8654438346210398
7,2021-07-21 13:09:51.762995,-0.9967609832133348,-0.9997919904314472
8,2021-07-21 13:09:51.863615,-0.7973591154076054,-0.9997919904314472
9,2021-07-21 13:09:51.963321,-0.9997919904314472,-0.9646180894430643
10,2021-07-21 13:09:52.064046,-0.8339984364801705,-0.9997919904314472
11,2021-07-21 13:09:52.163631,-0.9715641013459759,-0.9997919904314472
12,2021-07-21 13:09:52.263274,-0.9997919904314472,-0.8436573241587109
13,2021-07-21 13:09:52.363761,-0.9997919904314472,-0.9890285158151215
14,2021-07-21 13:09:52.463344,-0.9997919904314472,0.1799647496274788
15,2021-07-21 13:09:52.563927,-0.9997919904314472,-0.45929479866077927
16,2021-07-21 13:09:52.663435,0.23147957842298728,-0.9997919904314472
17,2021-07-21 13:09:52.763268,0.23147957842298728,-0.9997919904314472
18,2021-07-21 13:09:52.863200,-0.42265123331746646,-0.9997919904314472
19,2021-07-21 13:09:52.963973,-0.6615032865877999,-0.9997919904314472
20,2021-07-21 13:09:53.063668,-0.8039534441274281,-0.9997919904314472
21,2021-07-21 13:09:53.163574,-0.14359805246471616,-0.9997919904314472
22,2021-07-21 13:09:53.263264,-0.7059742273352172,-0.9997919904314472
23,2021-07-21 13:09:53.363965,-0.9912446485450772,-0.9997919904314472
24,2021-07-21 13:09:53.463472,-0.4981008265432481,-0.9997919904314472
25,2021-07-21 13:09:53.563066,-0.4551438827753994,-0.9997919904314472
26,2021-07-21 13:09:53.663616,-0.6465114194342092,-0.9997919904314472
27,2021-07-21 13:09:53.763242,-0.9149015475434474,-0.9997919904314472
28,2021-07-21 13:09:53.863920,-0.9997919904314472,-0.5079414791420949
29,2021-07-21 13:09:53.963732,-0.9997919904314472,0.2314795784229872
30,2021-07-21 13:09:54.063256,-0.9997919904314472,0.2314795784229872
31,2021-07-21 13:09:54.163266,-0.9997919904314472,-0.49993525599737465
32,2021-07-21 13:09:54.263874,-0.9997919904314472,-0.5534732613726078
33,2021-07-21 13:09:54.363604,-0.9997919904314472,-0.5453947695601734
34,2021-07-21 13:09:54.463126,-0.968846891154179,-0.9997919904314472
35,2021-07-21 13:09:54.563987,-0.7107701099832782,-0.9997919904314472
36,2021-07-21 13:09:54.663550,-0.2865724193286741,-0.9997919904314472
37,2021-07-21 13:09:54.763111,0.23147957842298728,-0.9997919904314472
38,2021-07-21 13:09:54.863646,0.23147957842298728,-0.9997919904314472
39,2021-07-21 13:09:54.963454,0.23147957842298728,-0.9997919904314472
40,2021-07-21 13:09:55.063597,0.17206271040564727,-0.9997919904314472
41,2021-07-21 13:09:55.163035,-0.4771828872719966,-0.9997919904314472
42,2021-07-21 13:09:55.263711,-0.5738169055503161,-0.9997919904314472
43,2021-07-21 13:09:55.363688,-0.7712867057821242,-0.9997919904314472
44,2021-07-21 13:09:55.463341,-0.9997919904314472,-0.7960536967784915
45,2021-07-21 13:09:55.563946,-0.9997919904314472,-0.824698857611871
46,2021-07-21 13:09:55.663476,-0.9997919904314472,-0.07925700492344827
47,2021-07-21 13:09:55.763134,-0.9997919904314472,-0.2815994566674763
48,2021-07-21 13:09:55.863834,-0.9997919904314472,-0.5706674931064498
49,2021-07-21 13:09:55.963414,-0.9997919904314472,-0.6487538035315823
50,2021-07-21 13:09:56.063977,-0.9997919904314472,-0.41562640892411373
51,2021-07-21 13:09:56.163682,-0.9997919904314472,-0.33476574633930145
52,2021-07-21 13:09:56.263628,-0.9997919904314472,0.21264155096679538
53,2021-07-21 13:09:56.363386,-0.911339972426898,-0.9997919904314472
54,2021-07-21 13:09:56.462936,-0.6627852152276172,-0.9997919904314472
55,2021-07-21 13:09:56.563476,-0.7348685980504781,-0.9997919904314472
56,2021-07-21 13:09:56.663281,0.2314795784229873,-0.9997919904314472
57,2021-07-21 13:09:56.762987,0.006154066857345003,-0.9997919904314472
58,2021-07-21 13:09:56.862958,-0.8831069532607003,-0.9997919904314472
59,2021-07-21 13:09:56.963518,-0.24966252225161087,-0.9997919904314472
60,2021-07-21 13:09:57.063040,-0.9690311385424764,-0.9997919904314472
61,2021-07-21 13:09:57.163827,-0.9997919904314116,-0.988706961399437
62,2021-07-21 13:09:57.263688,-0.9691530676000326,-0.9997919904314472
63,2021-07-21 13:09:57.363408,-0.9997919904314472,-0.39887638958745153
64,2021-07-21 13:09:57.463122,-0.9997919904314472,-0.5428985407485653
65,2021-07-21 13:09:57.564087,-0.9997919904314472,-0.7156941948652733
66,2021-07-21 13:09:57.663136,-0.9994348265522035,-0.9997919904314116
67,2021-07-21 13:09:57.763016,-0.7876523948511895,-0.9997919904314472
68,2021-07-21 13:09:57.863576,-0.3476530136195888,-0.9997919904314472
69,2021-07-21 13:09:57.963375,-0.2795067259724813,-0.9997919904314472
70,2021-07-21 13:09:58.063663,0.2314795784229873,-0.9997919904314472
71,2021-07-21 13:09:58.163850,0.23147957842298728,-0.9997919904314472
72,2021-07-21 13:09:58.263516,-0.30043125821632755,-0.9997919904314472
