,a_modem_delayed_t,modem_delayed_X,modem_delayed_Y,modem_delayed_Z,modem_delayed_ori_W,modem_delayed_ori_X,modem_delayed_ori_Y,modem_delayed_ori_Z
0,2021-07-21 13:00:35.945836,-13.002112374726789,-11.86460816228385,-0.317300033569336,1.0,0.0,0.0,0.0
1,2021-07-21 13:00:37.369953,-12.632419893686418,-11.551070974067859,-0.5832000494003295,1.0,0.0,0.0,0.0
2,2021-07-21 13:00:38.787047,-12.67627712267366,-11.526819702452677,-0.02550001144409164,1.0,0.0,0.0,0.0
3,2021-07-21 13:00:40.209856,-12.585751832924235,-11.42318251206601,0.33159999847412125,1.0,0.0,0.0,0.0
4,2021-07-21 13:00:41.631121,-11.654041852584196,-10.505587662321403,0.9216999962925913,1.0,0.0,0.0,0.0
5,2021-07-21 13:00:43.054316,-12.643109994715903,-11.285265193238114,0.48360000848770146,1.0,0.0,0.0,0.0
6,2021-07-21 13:00:44.478022,-13.190938635869006,-11.816842184302732,0.10400002002716069,1.0,0.0,0.0,0.0
7,2021-07-21 13:00:45.904135,-12.805873957978243,-11.352621885945979,0.6111000061035157,1.0,0.0,0.0,0.0
8,2021-07-21 13:00:47.326899,-12.866313656443396,-11.415557830648154,0.8635000020265581,1.0,0.0,0.0,0.0
9,2021-07-21 13:00:48.753569,-12.882342091898387,-11.444837645105675,0.5098000049591065,1.0,0.0,0.0,0.0
10,2021-07-21 13:00:50.175163,-11.71684299175519,-10.343922690677793,2.044300007820129,1.0,0.0,0.0,0.0
11,2021-07-21 13:00:51.599740,-12.165142773856239,-10.841448548727936,2.1229999542236326,1.0,0.0,0.0,0.0
12,2021-07-21 13:00:53.008638,-12.282600074245174,-11.002179727979296,0.9395000070333482,1.0,0.0,0.0,0.0
13,2021-07-21 13:00:54.418342,-12.006705880564013,-10.814845638899179,1.5109000086784363,1.0,0.0,0.0,0.0
14,2021-07-21 13:00:55.843327,-11.208103938588561,-10.1352911270396,2.2730000495910643,1.0,0.0,0.0,0.0
15,2021-07-21 13:00:57.275875,-12.53685067916219,-11.468675768709158,2.1460999727249144,1.0,0.0,0.0,0.0
16,2021-07-21 13:00:58.699634,-12.8094668254275,-11.925524622749109,1.907200026512146,1.0,0.0,0.0,0.0
17,2021-07-21 13:01:05.172769,-12.062268716006022,-11.710905145444045,2.88459997177124,1.0,0.0,0.0,0.0
18,2021-07-21 13:01:16.722178,-10.510561583747803,-11.017409033243144,4.326700019836426,1.0,0.0,0.0,0.0
19,2021-07-21 13:01:18.142784,-10.057285984815175,-10.61341911921189,4.147300052642822,1.0,0.0,0.0,0.0
20,2021-07-21 13:01:24.513507,-9.430308388906736,-10.687538707115745,6.085399913787842,1.0,0.0,0.0,0.0
21,2021-07-21 13:01:25.937404,-9.259737237486961,-10.442093781382791,5.659099864959717,1.0,0.0,0.0,0.0
22,2021-07-21 13:01:27.355552,-9.4869190560656,-10.779559619679713,5.914099979400635,1.0,0.0,0.0,0.0
23,2021-07-21 13:01:28.778911,-8.957355372132334,-10.308389987185063,6.07209997177124,1.0,0.0,0.0,0.0
24,2021-07-21 13:01:30.205198,-8.899087316321252,-10.49328600259281,6.5677001953125,1.0,0.0,0.0,0.0
25,2021-07-21 13:01:31.623682,-8.170594732757873,-9.882242588741576,7.062300014495849,1.0,0.0,0.0,0.0
26,2021-07-21 13:01:33.047445,-8.218409605997937,-10.042946546196827,7.1850998878479,1.0,0.0,0.0,0.0
27,2021-07-21 13:01:34.472472,-7.817625004560586,-10.131598412058658,8.124900150299073,1.0,0.0,0.0,0.0
28,2021-07-21 13:01:35.897558,-7.502437225169942,-9.811952993205598,7.814100074768066,1.0,0.0,0.0,0.0
29,2021-07-21 13:01:37.315971,-6.9583185184276815,-9.43995711404516,7.865700054168701,1.0,0.0,0.0,0.0
30,2021-07-21 13:01:38.741585,-7.425977414426008,-10.11307304848835,7.84040002822876,1.0,0.0,0.0,0.0
31,2021-07-21 13:01:40.164900,-7.547358585951011,-10.540234770209487,7.9785998344421385,1.0,0.0,0.0,0.0
32,2021-07-21 13:01:41.587429,-6.736620819908653,-10.016852811858904,8.319700050354005,1.0,0.0,0.0,0.0
33,2021-07-21 13:01:43.012343,-6.50938847840548,-9.648505960904192,7.836099910736084,1.0,0.0,0.0,0.0
34,2021-07-21 13:01:44.434254,-5.815542935482904,-9.694452398663344,8.869299697875977,1.0,0.0,0.0,0.0
