,a_nav_status_xi,nav_status_D,nav_status_E,nav_status_N,nav_status_alt,nav_status_origin_lat,nav_status_origin_lon,nav_status_pitch,nav_status_roll,nav_status_yaw
14,2021-06-09 12:02:28.934919,0.0,-77.23762450052415,-32.599147024462894,0.0,39.54333,2.37794,0.0,0.0,-2.0217201709747314
15,2021-06-09 12:02:28.968931,0.0,-77.23553552525513,-32.59776957504979,0.0,39.54333,2.37794,0.0,0.0,-2.0339174270629883
16,2021-06-09 12:02:29.001682,0.0,-77.23331560725045,-32.59632428844354,0.0,39.54333,2.37794,0.0,0.0,-2.022643804550171
17,2021-06-09 12:02:29.046026,0.0,-77.23108562351167,-32.59491735134327,0.0,39.54333,2.37794,0.0,0.0,-2.02125883102417
18,2021-06-09 12:02:29.105499,0.0,-77.22647548592714,-32.59203860306417,0.0,39.54333,2.37794,0.0,0.0,-1.9736056327819824
19,2021-06-09 12:02:29.138799,0.0,-77.22400466977214,-32.59060088326512,0.0,39.54333,2.37794,0.0,0.0,-1.9744291305541992
20,2021-06-09 12:02:29.172325,0.0,-77.22155807952737,-32.5891952038746,0.0,39.54333,2.37794,0.0,0.0,-1.9555855989456177
21,2021-06-09 12:02:29.205643,0.0,-77.21898916261708,-32.5877401526021,0.0,39.54333,2.37794,0.0,0.0,-1.9647719860076904
22,2021-06-09 12:02:29.238937,0.0,-77.2164531759469,-32.586288057558555,0.0,39.54333,2.37794,0.0,0.0,-1.9691448211669922
23,2021-06-09 12:02:29.272559,0.0,-77.21383276961102,-32.58488008049474,0.0,39.54333,2.37794,0.0,0.0,-1.9554312229156494
24,2021-06-09 12:02:29.338548,0.0,-77.20842162116843,-32.58195343858769,0.0,39.54333,2.37794,0.0,0.0,-1.9561430215835571
25,2021-06-09 12:02:29.368436,0.0,-77.20572341441853,-32.58045907860093,0.0,39.54333,2.37794,0.0,0.0,-1.9411858320236206
26,2021-06-09 12:02:29.401720,0.0,-77.20289637534752,-32.57890745061693,0.0,39.54333,2.37794,0.0,0.0,-1.9580461978912354
27,2021-06-09 12:02:29.435064,0.0,-77.20000847642018,-32.57738744779458,0.0,39.54333,2.37794,0.0,0.0,-1.9615732431411743
28,2021-06-09 12:02:29.462799,0.0,-77.19711019490823,-32.5757880715615,0.0,39.54333,2.37794,0.0,0.0,-1.9706274271011353
29,2021-06-09 12:02:29.528867,0.0,-77.19126581927445,-32.57255619598038,0.0,39.54333,2.37794,0.0,0.0,-1.9467214345932007
30,2021-06-09 12:02:29.578813,0.0,-77.18824404985989,-32.57088257686213,0.0,39.54333,2.37794,0.0,0.0,-2.0096404552459717
31,2021-06-09 12:02:29.604691,0.0,-77.18519795086023,-32.56913045485869,0.0,39.54333,2.37794,0.0,0.0,-1.9798088073730469
