,a_nav_status_xi,nav_status_D,nav_status_E,nav_status_N,nav_status_alt,nav_status_origin_lat,nav_status_origin_lon,nav_status_pitch,nav_status_roll,nav_status_yaw
0,2021-09-20 09:14:44.648742,0.0,-134.66029814106767,-196.61528294824964,0.0,39.154599999999995,2.9449,0.0,0.0,-0.17892023921012878
1,2021-09-20 09:14:44.672051,0.0,-134.66379087345697,-196.60730134494483,0.0,39.154599999999995,2.9449,0.0,0.0,-0.20316378772258759
2,2021-09-20 09:14:44.699587,0.0,-134.6695548262946,-196.59818330462494,0.0,39.154599999999995,2.9449,0.0,0.0,-0.19287019968032837
3,2021-09-20 09:14:44.732071,0.0,-134.67598609745988,-196.58770260407078,0.0,39.154599999999995,2.9449,0.0,0.0,-0.15839889645576477
4,2021-09-20 09:14:44.778344,0.0,-134.6823556508346,-196.57729779835384,0.0,39.154599999999995,2.9449,0.0,0.0,-0.16378360986709595
5,2021-09-20 09:14:44.803489,0.0,-134.6885389351378,-196.5666987381441,0.0,39.154599999999995,2.9449,0.0,0.0,-0.140975221991539
6,2021-09-20 09:14:44.874604,0.0,-134.7018332445955,-196.54941701806814,0.0,39.154599999999995,2.9449,0.0,0.0,-0.16660375893115997
7,2021-09-20 09:14:44.910726,0.0,-134.70791251529656,-196.54015065870107,0.0,39.154599999999995,2.9449,0.0,0.0,-0.18185275793075562
8,2021-09-20 09:14:44.944301,0.0,-134.7144649209291,-196.53000214348725,0.0,39.154599999999995,2.9449,0.0,0.0,-0.19913899898529053
9,2021-09-20 09:14:44.977551,0.0,-134.72113440110837,-196.52000302243607,0.0,39.154599999999995,2.9449,0.0,0.0,-0.22800396382808685
10,2021-09-20 09:14:45.010748,0.0,-134.72815453346934,-196.51003521487553,0.0,39.154599999999995,2.9449,0.0,0.0,-0.23358556628227234
11,2021-09-20 09:14:45.073618,0.0,-134.74662281790788,-196.49639363295628,0.0,39.154599999999995,2.9449,0.0,0.0,-0.21809755265712738
12,2021-09-20 09:14:45.105731,0.0,-134.75311029535192,-196.48812235220655,0.0,39.154599999999995,2.9449,0.0,0.0,-0.25151899456977844
13,2021-09-20 09:14:45.141598,0.0,-134.76058752648845,-196.47907222403632,0.0,39.154599999999995,2.9449,0.0,0.0,-0.24370203912258148
14,2021-09-20 09:14:45.174954,0.0,-134.76830453132254,-196.46962634972866,0.0,39.154599999999995,2.9449,0.0,0.0,-0.2774800658226013
15,2021-09-20 09:14:45.208284,0.0,-134.776124365033,-196.4605973804196,0.0,39.154599999999995,2.9449,0.0,0.0,-0.3071942627429962
16,2021-09-20 09:14:45.275180,0.0,-134.79172548434173,-196.4424278975934,0.0,39.154599999999995,2.9449,0.0,0.0,-0.31791675090789795
17,2021-09-20 09:14:45.309914,0.0,-134.80019291245407,-196.43726596709487,0.0,39.154599999999995,2.9449,0.0,0.0,-0.30339622497558594
18,2021-09-20 09:14:45.341608,0.0,-134.80840381196094,-196.42832631355498,0.0,39.154599999999995,2.9449,0.0,0.0,-0.3061637878417969
19,2021-09-20 09:14:45.374970,0.0,-134.81641570039648,-196.4198115389586,0.0,39.154599999999995,2.9449,0.0,0.0,-0.30020397901535034
