,a_USBLlong_t,usbllong_D,usbllong_E,usbllong_N,usbllong_X,usbllong_Y,usbllong_Z,usbllong_pitch,usbllong_roll,usbllong_yaw
0,2021-06-09 12:35:42.934003,-13.672100067138672,63.80149841308594,71.42109680175781,-69.24320220947266,65.35320281982422,-17.11359977722168,0.031599998474121094,0.01899999938905239,-1.6575000286102295
1,2021-06-09 12:36:29.974679,-5.883200168609619,57.62710189819336,62.964298248291016,-62.537899017333984,57.17169952392578,-11.84939956665039,0.06390000134706497,0.03400000184774399,-1.6627999544143677
2,2021-06-09 12:36:32.923226,-5.352799892425537,56.80110168457031,62.166099548339844,-66.78900146484375,50.268001556396484,-11.4891996383667,0.07909999787807465,0.01640000008046627,-1.760200023651123
3,2021-06-09 12:36:34.422135,-7.343599796295166,55.887699127197266,62.04990005493164,-63.42499923706055,54.01620101928711,-9.331299781799316,0.03819999843835831,-0.008200000040233135,-1.705899953842163
4,2021-06-09 12:36:37.327424,-5.6234002113342285,56.924400329589844,59.96039962768555,-64.70819854736328,51.067298889160156,-8.500200271606445,0.0771000012755394,-0.04190000146627426,-1.7193000316619873
5,2021-06-09 12:36:38.822600,-3.563999891281128,55.561798095703125,60.79719924926758,-63.96030044555664,51.49150085449219,-7.336100101470947,0.07000000029802322,-0.014000000432133675,-1.7265000343322754
6,2021-06-09 12:36:45.353389,-9.127300262451172,55.75640106201172,57.6880989074707,-61.60900115966797,50.56039810180664,-12.960700035095215,0.031099999323487282,0.037700001150369644,-1.6852999925613403
7,2021-06-09 12:36:46.852737,-5.284999847412109,56.137901306152344,57.14860153198242,-62.96500015258789,48.55979919433594,-11.077699661254883,0.09839999675750732,-0.00930000003427267,-1.7145999670028687
8,2021-06-09 12:36:58.631284,-6.466100215911865,59.155399322509766,51.055301666259766,-69.0833969116211,35.857601165771484,-9.462499618530273,0.020600000396370888,0.04360000044107437,-1.8014999628067017
9,2021-06-09 12:37:00.121936,-10.306400299072266,58.418399810791016,50.90719985961914,-67.34040069580078,36.3390007019043,-15.975299835205078,0.054999999701976776,0.05310000106692314,-1.7906999588012695
10,2021-06-09 12:37:01.611556,-7.40910005569458,58.237098693847656,51.09920120239258,-63.41630172729492,43.70750045776367,-11.207799911499023,0.0625,-0.00419999985024333,-1.6921000480651855
11,2021-06-09 12:37:08.153437,-16.991199493408203,56.88840103149414,48.017799377441406,-58.264801025390625,45.84379959106445,-18.28260040283203,0.021800000220537186,0.0003000000142492354,-1.608299970626831
12,2021-06-09 12:37:20.914386,-14.6899995803833,55.874698638916016,44.19070053100586,-56.316200256347656,41.48820114135742,-19.945199966430664,0.06909999996423721,0.031599998474121094,-1.6098999977111816
